# NEST version: HEAD@d3dd85a70
# RecordingBackendASCII version: 2
sender	time_ms
116	51.700
106	58.500
104	59.900
110	59.600
112	58.800
118	58.900
124	72.000
114	78.900
102	96.700
108	98.800
116	104.500
118	111.400
122	116.000
104	117.800
110	133.400
120	138.000
114	143.900
116	148.300
112	154.100
106	156.500
124	167.100
102	175.500
122	181.000
118	188.600
110	190.800
116	199.400
120	200.200
104	216.000
114	218.300
124	219.500
106	229.500
102	251.400
118	251.100
120	257.700
108	258.500
112	261.200
110	269.500
116	277.900
122	277.600
106	288.400
102	296.400
114	296.700
108	311.100
110	314.200
104	327.800
112	334.100
116	339.400
120	340.900
124	344.000
106	358.000
102	362.300
118	366.100
110	367.700
122	372.700
114	380.700
120	388.900
108	393.500
116	421.800
102	423.800
118	423.900
106	428.500
110	428.700
122	443.800
120	449.400
104	451.700
108	459.600
112	465.600
124	471.000
114	473.900
116	476.400
118	489.500
102	491.300
106	507.700
122	507.800
120	510.300
124	524.800
110	543.000
108	547.200
112	551.300
104	552.400
114	559.000
122	564.500
116	568.900
106	573.400
102	578.900
120	587.500
118	590.200
124	615.900
112	619.300
114	619.600
104	629.200
106	643.500
120	643.200
122	647.400
110	660.600
102	665.300
118	666.300
124	668.800
108	674.200
116	679.200
112	683.400
114	699.900
122	699.300
106	701.400
120	704.700
124	717.600
102	723.200
118	723.600
116	731.300
110	734.200
104	741.600
108	751.700
112	752.800
124	768.100
122	774.600
114	788.700
112	793.800
118	799.100
110	804.200
102	809.900
120	811.900
106	813.400
122	816.600
116	824.700
108	835.100
124	838.500
114	845.800
118	850.400
122	865.200
104	876.000
110	882.400
112	897.000
106	898.400
108	897.700
116	908.700
120	909.000
114	909.700
122	917.300
124	917.300
102	918.100
118	924.200
110	940.600
104	947.200
108	955.800
106	969.400
112	974.200
116	974.900
122	976.100
102	986.500
120	985.800
114	994.400
118	996.700
